# Seuil TPR FPR
0 1.000000 1.000000
1 1.000000 1.000000
2 1.000000 1.000000
3 1.000000 0.999991
4 0.997259 0.999662
5 0.992558 0.999066
6 0.988583 0.996929
7 0.981921 0.992623
8 0.973187 0.988863
9 0.959575 0.980518
10 0.949668 0.975773
11 0.940808 0.968118
12 0.934665 0.962277
13 0.925370 0.956493
14 0.916670 0.948285
15 0.908627 0.941112
16 0.895979 0.930014
17 0.878446 0.910326
18 0.865774 0.895805
19 0.854663 0.884731
20 0.844883 0.873112
21 0.835517 0.858221
22 0.824358 0.847420
23 0.812162 0.835496
24 0.798818 0.822366
25 0.786416 0.808763
26 0.774464 0.798345
27 0.763092 0.786737
28 0.752904 0.775628
29 0.742096 0.765987
30 0.731662 0.754470
31 0.719958 0.737390
32 0.707954 0.722510
33 0.697757 0.708439
34 0.688380 0.691577
35 0.679646 0.678738
36 0.671168 0.665050
37 0.662611 0.651174
38 0.653822 0.629098
39 0.644542 0.607183
40 0.636354 0.588172
41 0.627862 0.572719
42 0.620120 0.560753
43 0.611755 0.548174
44 0.603437 0.531760
45 0.592940 0.513231
46 0.584976 0.489465
47 0.576780 0.472721
48 0.569055 0.460509
49 0.561581 0.451085
50 0.554181 0.440648
51 0.546201 0.428635
52 0.537541 0.417331
53 0.527992 0.406838
54 0.519838 0.397068
55 0.512182 0.391021
56 0.504503 0.383271
57 0.496905 0.376644
58 0.489460 0.369749
59 0.482028 0.361266
60 0.474691 0.352275
61 0.467562 0.340124
62 0.460338 0.333609
63 0.453678 0.322325
64 0.447082 0.313612
65 0.440116 0.302636
66 0.433182 0.293372
67 0.426404 0.285725
68 0.419971 0.278874
69 0.413907 0.273617
70 0.408024 0.269337
71 0.402031 0.263995
72 0.395925 0.260062
73 0.389376 0.254625
74 0.383349 0.249203
75 0.377248 0.244434
76 0.371165 0.238669
77 0.365162 0.233129
78 0.359327 0.228591
79 0.353307 0.223819
80 0.347098 0.217529
81 0.340541 0.212343
82 0.334161 0.207471
83 0.328149 0.202374
84 0.322478 0.197073
85 0.316590 0.191615
86 0.310468 0.186514
87 0.304602 0.180157
88 0.299152 0.173329
89 0.293375 0.162661
90 0.288193 0.153140
91 0.282933 0.146593
92 0.277552 0.139712
93 0.272217 0.129302
94 0.267197 0.120555
95 0.262667 0.110470
96 0.258128 0.098211
97 0.253891 0.089996
98 0.249597 0.083477
99 0.245505 0.075064
100 0.241364 0.070003
101 0.237395 0.065219
102 0.233384 0.060602
103 0.229547 0.057736
104 0.225625 0.054315
105 0.221746 0.053303
106 0.217912 0.051777
107 0.214119 0.050582
108 0.210140 0.049522
109 0.206316 0.048727
110 0.202552 0.047986
111 0.199174 0.047299
112 0.195774 0.046865
113 0.192313 0.046494
114 0.188988 0.046034
115 0.185735 0.045526
116 0.182483 0.045006
117 0.179268 0.044514
118 0.176277 0.044114
119 0.173309 0.043673
120 0.170418 0.043299
121 0.167472 0.042917
122 0.164462 0.042516
123 0.161529 0.042071
124 0.158582 0.041682
125 0.155636 0.041349
126 0.152719 0.041022
127 0.149796 0.040659
128 0.146720 0.040318
129 0.143684 0.039998
130 0.140677 0.039645
131 0.137618 0.039193
132 0.134576 0.038816
133 0.131617 0.038520
134 0.128868 0.038238
135 0.125779 0.037906
136 0.122672 0.037598
137 0.119636 0.037215
138 0.116576 0.036792
139 0.113522 0.036399
140 0.110868 0.036072
141 0.108074 0.035787
142 0.105394 0.035429
143 0.102719 0.034891
144 0.100160 0.034210
145 0.097677 0.033642
146 0.095298 0.033143
147 0.093023 0.032677
148 0.090878 0.032296
149 0.088656 0.031861
150 0.086356 0.031387
151 0.084036 0.030834
152 0.081807 0.030178
153 0.079664 0.029564
154 0.077859 0.029097
155 0.076043 0.028528
156 0.074348 0.027849
157 0.072691 0.026992
158 0.071081 0.026031
159 0.069415 0.025136
160 0.067823 0.024146
161 0.066360 0.023267
162 0.064866 0.022425
163 0.063480 0.021426
164 0.061994 0.020264
165 0.060504 0.019010
166 0.058820 0.017910
167 0.057284 0.016943
168 0.055840 0.016061
169 0.054448 0.015220
170 0.053109 0.013949
171 0.051586 0.012600
172 0.050176 0.011213
173 0.048924 0.009835
174 0.047644 0.008353
175 0.046468 0.006931
176 0.045240 0.005909
177 0.044101 0.004972
178 0.042992 0.004216
179 0.041962 0.003401
180 0.041055 0.002508
181 0.040167 0.001940
182 0.039265 0.001547
183 0.038380 0.001242
184 0.037571 0.000973
185 0.036609 0.000782
186 0.035689 0.000604
187 0.034640 0.000426
188 0.033531 0.000282
189 0.032440 0.000223
190 0.031296 0.000188
191 0.030250 0.000187
192 0.029024 0.000184
193 0.027778 0.000181
194 0.026555 0.000179
195 0.025469 0.000176
196 0.024259 0.000172
197 0.023281 0.000166
198 0.022119 0.000166
199 0.021105 0.000163
200 0.019877 0.000157
201 0.017982 0.000149
202 0.015668 0.000145
203 0.013855 0.000137
204 0.012616 0.000132
205 0.011678 0.000121
206 0.011006 0.000118
207 0.010276 0.000118
208 0.009651 0.000115
209 0.009034 0.000112
210 0.008357 0.000111
211 0.007717 0.000108
212 0.007113 0.000103
213 0.006496 0.000096
214 0.005909 0.000094
215 0.005229 0.000088
216 0.004425 0.000084
217 0.003513 0.000078
218 0.002683 0.000069
219 0.002122 0.000060
220 0.001560 0.000049
221 0.000951 0.000046
222 0.000387 0.000039
223 0.000256 0.000036
224 0.000187 0.000025
225 0.000103 0.000015
226 0.000058 0.000006
227 0.000040 0.000004
228 0.000026 0.000003
229 0.000013 0.000001
230 0.000011 0.000000
231 0.000005 0.000000
232 0.000000 0.000000
233 0.000000 0.000000
234 0.000000 0.000000
235 0.000000 0.000000
236 0.000000 0.000000
237 0.000000 0.000000
238 0.000000 0.000000
239 0.000000 0.000000
240 0.000000 0.000000
241 0.000000 0.000000
242 0.000000 0.000000
243 0.000000 0.000000
244 0.000000 0.000000
245 0.000000 0.000000
246 0.000000 0.000000
247 0.000000 0.000000
248 0.000000 0.000000
249 0.000000 0.000000
250 0.000000 0.000000
251 0.000000 0.000000
252 0.000000 0.000000
253 0.000000 0.000000
254 0.000000 0.000000
255 0.000000 0.000000
